Epochs,Accuracy
1,0.5755813953488372
2,0.5755813953488372
3,0.5755813953488372
4,0.5755813953488372
5,0.5755813953488372
6,0.5813953488372093
7,0.6627906976744186
8,0.5813953488372093
9,0.7790697674418605
10,0.5755813953488372
11,0.8313953488372093
12,0.7383720930232558
13,0.7441860465116279
14,0.5755813953488372
15,0.8255813953488372
16,0.8255813953488372
17,0.7965116279069767
18,0.8255813953488372
19,0.8255813953488372
20,0.8023255813953488
21,0.7790697674418605
22,0.8197674418604651
23,0.8313953488372093
24,0.7965116279069767
25,0.5755813953488372
26,0.813953488372093
27,0.8197674418604651
28,0.8255813953488372
29,0.813953488372093
30,0.8197674418604651
31,0.8255813953488372
32,0.8255813953488372
33,0.8197674418604651
34,0.8255813953488372
35,0.8313953488372093
36,0.872093023255814
37,0.5755813953488372
38,0.8197674418604651
39,0.8313953488372093
40,0.7965116279069767
41,0.8197674418604651
42,0.8255813953488372
43,0.8953488372093024
44,0.8255813953488372
45,0.8255813953488372
46,0.8488372093023255
47,0.8197674418604651
48,0.8313953488372093
49,0.8488372093023255
50,0.8895348837209303
51,0.8313953488372093
52,0.8430232558139535
53,0.813953488372093
54,0.8372093023255814
55,0.8430232558139535
56,0.8081395348837209
57,0.8430232558139535
58,0.8197674418604651
59,0.8662790697674418
60,0.8604651162790697
61,0.8313953488372093
62,0.8255813953488372
63,0.8197674418604651
64,0.872093023255814
65,0.813953488372093
66,0.8313953488372093
67,0.8430232558139535
68,0.877906976744186
69,0.877906976744186
70,0.8023255813953488
71,0.8430232558139535
72,0.8837209302325582
73,0.8662790697674418
74,0.8197674418604651
75,0.8313953488372093
76,0.872093023255814
77,0.872093023255814
78,0.8313953488372093
79,0.8372093023255814
80,0.813953488372093
81,0.8953488372093024
82,0.8488372093023255
83,0.8837209302325582
84,0.8953488372093024
85,0.8546511627906976
86,0.813953488372093
87,0.8430232558139535
88,0.8313953488372093
89,0.8313953488372093
90,0.813953488372093
91,0.8604651162790697
92,0.8837209302325582
93,0.9069767441860465
94,0.8430232558139535
95,0.8546511627906976
96,0.8895348837209303
97,0.9069767441860465
98,0.8662790697674418
99,0.8662790697674418
100,0.8313953488372093
