First Layer Neurons,Second Layer Neurons,Epochs,Batch_Size,Accuracy
5,5,100,64,0.5755813953488372
5,6,100,64,0.8255813953488372
5,7,100,64,0.8430232558139535
5,8,100,64,0.8313953488372093
5,9,100,64,0.8895348837209303
6,5,100,64,0.8255813953488372
6,6,100,64,0.8488372093023255
6,7,100,64,0.8313953488372093
6,8,100,64,0.8953488372093024
6,9,100,64,0.8255813953488372
7,5,100,64,0.8604651162790697
7,6,100,64,0.8546511627906976
7,7,100,64,0.8953488372093024
7,8,100,64,0.8313953488372093
7,9,100,64,0.5755813953488372
8,5,100,64,0.8255813953488372
8,6,100,64,0.5755813953488372
8,7,100,64,0.8430232558139535
8,8,100,64,0.8197674418604651
8,9,100,64,0.8313953488372093
9,5,100,64,0.872093023255814
9,6,100,64,0.8023255813953488
9,7,100,64,0.8313953488372093
9,8,100,64,0.872093023255814
9,9,100,64,0.872093023255814
